Category,SKU,Title,Description,Benefit 1,Benefit 2,Benefit 3,back image,Cost Per Bottle (30),Cost Per Bottle (100),Cost Per Bottle (200),Ingredients,Recommended Price,Servings,Capsules,,,Name,Study,,,,Cost Per Bottle (1)
,,,,,,,,,,,MSM,,,,,"MSM is an organic sulfur-containing compound that�s used to improve immune function, lower inflammation and help restore healthy bodily tissue.",https://nccih.nih.gov/research/results/gait/qa.htm,https://www.ncbi.nlm.nih.gov/pubmed/17516722,,,,
,,,,,,,,,,,Shark Cartilage,,,,,"Shark cartilage, also called chondroitin, which is part of cartilage, will help support your body to repair or grow new cartilage in your joints.",National Cancer Institute,https://www.cancer.gov/about-cancer/treatment/cam/patient/cartilage-pdq,,,,
,,,,,,,,,,,Devil's Claw,,,,,"Native to southern Africa, devil's claw (Harpagophytum procumbens) gets its name from the tiny hooks that cover its fruit. Historically, devil's claw has been used to treat pain, liver and kidney problems, fever, and malaria. It has also been used in ointments to heal sores, boils, and other skin problems. Today, devil's claw is used widely in Germany and France to fight inflammation or relieve arthritis pain, headache, and low back pain.",Oxford Journals: Rheumatology,http://rheumatology.oxfordjournals.org/content/41/11/1332.full,,,,
,3-09026,Krill Oil,Clinically studied to support joint & cognitive functions and cardiovascular health.*,Enhances Memory,Relieves Joint Pain,Non-GMO,Krill_Oil.png,$13.54,$10.83,$10.83,Krill Oil,$25.00,60,60,Softgel,"Krill Oil is a natural extract from Antarctic krill Euphausia superba. It naturally contains phospholipids with bonded omega-3, and is rich in EPA and DHA along with esterified astaxanthin. Rich in omega-3 fatty acids and esterified astaxanthin, Krill Oil provides unique benefits that differ from other omega-3 sources.*",BioMed Central Open Access Publisher,http://lipidworld.biomedcentral.com/articles/10.1186/s12944-015-0015-4,,,,$25.00
,4-21012,Multivitamin,"A balanced multiple mineral formula designed to support brain, bone, immune, cardiovascular, and metabolic functions through out the aging process.*",Cell Protection,Balanced Hormones,Fights Illness,Multivitamin.png,$8.36,$6.69,$6.69,Vitamin A,$20.00,60,60,Tablet,"Vitamin A is a fat-soluble vitamin with multiple functions in the body. It is required for normal development, growth and maintenance of the skeleton throughout life.*",University of Maryland Medical Center,http://umm.edu/health/medical/altmed/supplement/vitamin-a-retinol,,,,$20.00
,,,,,,,,,,,Vitamin C,,,,,"Vitamin C or Ascorbic Acid belongs to a class of vitamins which are termed water-soluble nutrients. It is not stored in the body and should be replenished throughout the day and evening for optimal health.* As a water soluble vitamin, the body is able to excrete any unneeded levels of Vitamin C, which allows for flexible dosing.*",National Institutes of Health,https://ods.od.nih.gov/factsheets/VitaminC-HealthProfessional/,,,,
,,,,,,,,,,,Vitamin D,,,,,Vitamin D3 (cholecalciferol) is a fat-soluble vitamin that is essential for maintaining normal calcium metabolism. It supports calcium absorption in the gut and helps maintain adequate serum calcium and phosphate concentrations to enable normal mineralization of bone.*,Harvard University,https://www.hsph.harvard.edu/nutritionsource/vitamin-d/,,,,
,,,,,,,,,,,Vitamin E,,,,,"Vitamin E is a fat soluble antioxidant, which can be obtained only as a food supplement. The most widely known health benefits of vitamin E are protection against toxins such as air pollution, premenstrual syndrome, eye disorders such as cataracts, neurological diseases such as Alzheimer's disease, and diabetes.*",Harvard University,https://www.hsph.harvard.edu/nutritionsource/vitamin-e/,,,,
,,,,,,,,,,,Vitamin K,,,,,"Vitamin K is a fat-soluble vitamin that is most well known for the important role it plays in blood clotting. However, vitamin K is also absolutely essential to building strong bones, preventing heart disease, and crucial part ofother bodily processes.*",National Institutes of Health,https://ods.od.nih.gov/factsheets/VitaminK-HealthProfessional/,,,,
,,,,,,,,,,,Thiamine,,,,,"Thiamin and Niacinamide are required for normal brain function, cognitive activity and aid in energy production.* Thiamin is also needed for acetylcholine production, a neurotransmitter involved in learning and memory functions.*",University of Maryland Medical Center,http://umm.edu/health/medical/altmed/supplement/vitamin-b1-thiamine,,,,
,,,,,,,,,,,Riboflavin,,,,,"Riboflavin is a necessary cofactor in the production of energy from carbohydrates, protein and fats.*",University of Maryland Medical Center,http://umm.edu/health/medical/altmed/supplement/vitamin-b2-riboflavin,,,,
,,,,,,,,,,,Niacin,,,,,"The most important benefit of Niacin, or vitamin B3, is its ability to lower cholesterol levels and control them. Niacin also releases energy into the body's cells, but is primarily used to lower high cholesterol levels.*",The New England Medical Journal,http://www.nejm.org/doi/full/10.1056/NEJMoa1300955,,,,
,,,,,,,,,,,Vitamin B6,,,,,"Vitamin B6 is needed for more than 100 enzymatic reactions in the body. Vitamin B6 is required for normal brain and nerve function, the synthesis of certain neurotransmitters and lipids that are part of the myelin sheath.*",University of Michigan Health System,http://www.uofmhealth.org/health-library/hn-2928009,,,,
,,,,,,,,,,,Folic Acid,,,,,"Folic Acid is needed for the formation of red blood cells which help increase capillary blood flow and are necessary to recycle homocysteine into methionine.* Folic Acid is also needed for energy production, protein metabolism and repair of RNA and DNA.*",The New England Medical Journal,http://www.nejm.org/doi/full/10.1056/nejmoa060900,,,,
,,,,,,,,,,,Vitamin B12,,,,,"Vitamin B12 is necessary for the maintenance of myelin, the fatty sheaths that cover and protect nerve endings.*",University of Maryland Medical Center,http://umm.edu/health/medical/altmed/supplement/vitamin-b12-cobalamin,,,,
,,,,,,,,,,,Biotin,,,,,"Biotin supports healthy nerve tissue, aids in cell growth and fatty acid metabolism.*",Oregon State University,http://lpi.oregonstate.edu/mic/vitamins/biotin,,,,
,,,,,,,,,,,Pantothenic Acid,,,,,Pantothenic Acid plays a role in the production of the adrenal hormones and is required by all cells.* Pantothenic Acid may be helpful in managing irregular moods and stress.*,National Institutes of Health,https://ods.od.nih.gov/factsheets/VitaminC-HealthProfessional/,,,,
,,,,,,,,,,,Phosphorous,,,,,"Next to calcium, phosphorus is the most abundant mineral in the body. These 2 important nutrients work closely together to build strong bones and teeth.*",Oregon State University,http://lpi.oregonstate.edu/mic/minerals/phosphorus,,,,
,,,,,,,,,,,Calcium,,,,,"Calcium is the primary mineral responsible for strong, healthy bones.*",US National Library of MedicineNational Institutes of Health,https://www.ncbi.nlm.nih.gov/pubmed/24960615,,,,
,,,,,,,,,,,Iron,,,,,"Iron deficiency can lead to conditions like iron deficiency anemia, chronic anemia, cough, and pre-dialysis anemia. The health benefits of iron include the eradication of different causes of fatigue.*",US National Library of MedicineNational Institutes of Health,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3999603/,,,,
,,,,,,,,,,,Magnesium,,,,,"Magnesium helps maintain normal muscle and nerve function, keeps heart rhythm steady, supports a healthy immune system, and keeps bones strong.*",US National Library of MedicineNational Institutes of Health,https://www.ncbi.nlm.nih.gov/pubmed/21241290,,,,
,,,,,,,,,,,Zinc,,,,,"The health benefits of Zinc include proper functioning of the immune and digestive systems, control of diabetes, reduction of stress levels, energy metabolism, and an increased rate of healing for acne and wounds.*",National Institutes of Health,https://ods.od.nih.gov/factsheets/Zinc-HealthProfessional/,,,,
,,,,,,,,,,,Selenium,,,,,"Selenium is an essential trace mineral important for cognitive function, a healthy immune system and fertility for both men and women.*",National Institutes of Health,https://ods.od.nih.gov/factsheets/Selenium-HealthProfessional/,,,,
,,,,,,,,,,,Copper,,,,,"Copper is an essential trace mineral necessary for survival. Most of the copper in the body is found in the liver, brain, heart, kidneys and skeletal muscle. Copper helps with the formation of collagen, increases the absorption of iron and plays a role in energy production.*",US National Library of MedicineNational Institutes of Health,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3628354/,,,,
,,,,,,,,,,,Chromium,,,,,"Chromium is a metallic element that humans require in very small amounts. It is an essential part of metabolic processes that regulate blood sugar, and helps insulin transport glucose into cells, where it can be used for energy. Chromium also appears to be involved in the metabolism of carbohydrate, fat, and protein.*",National Institutes of Health,https://ods.od.nih.gov/factsheets/Chromium-HealthProfessional/,,,,
,,,,,,,,,,,Manganese,,,,,"Some of the health benefits of manganese include a benefit to healthy bone structure, bone metabolism, and helping to create essential enzymes for building bones. It also acts as a co-enzyme to assist metabolic activity in the human body.*",Oregon State University,http://lpi.oregonstate.edu/mic/minerals/manganese,,,,
,,,,,,,,,,,Sodium,,,,,Sodium is an extremely important electrolyte and an essential ion present in the extracellular fluid (ECF). One of the healthbenefits of sodium is the pivotal role it plays in enzyme operations and muscle contraction. It is very important for osmoregulation and fluid maintenance within the human body.*,National Institutes of Health,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC2657026/,,,,
,,,,,,,,,,,Potassium,,,,,"The health benefits of potassium include relief from stroke, blood pressure, heart and kidney disorders, anxiety and stress, as well as enhanced muscle strength, metabolism, water balance, electrolytic functions, and nervous system.*",The BioMedical Journal,http://www.bmj.com/content/346/bmj.f1378,,,,
,,,,,,,,,,,Iodine,,,,,"The thyroid gland needs iodine to make hormones. If the thyroid doesn_��t have enough iodine to do its job, feedback systems in the body cause the thyroid to work harder. This can cause an enlarged thyroid gland (goiter), which becomes evident as a swollen neck.*",BioMed Central Open Access Publisher,https://thyroidresearchjournal.biomedcentral.com/articles/10.1186/s13044-015-0020-8,,,,
,,,,,,,,,,,Silicon,,,,,"Silicon is used for weak bones (osteoporosis), heart disease and stroke (cardiovascular disease), Alzheimer's disease, hair loss, and improving hair and nail quality. It is also used for improving skin healing; and for treating sprains and strains, as well asdigestive system disorders.*",US National Library of MedicineNational Institutes of Health,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC2658806/,,,,
,,,,,,,,,,,Tin,,,,,"Tin is considered a trace mineral, or micromineral. It is found in small amounts in our body and is believed to play a part in our overall health andbodily processes.*",US National Library of MedicineNational Institutes of Health,https://www.ncbi.nlm.nih.gov/pubmed/22170592,,,,
,,,,,,,,,,,Boron,,,,,"Boron helps in the metabolism of minerals that are involved in bone development such as calcium, magnesium and copper. Furthermore, it affects various hormones, including estrogen andtestosterone, which are also related to the overall health of the body's bones.*",US National Library of MedicineNational Institutes of Health,https://www.ncbi.nlm.nih.gov/pubmed/21129941,,,,
,,,,,,,,,,,Nickel,,,,,"Your body highly relies on Nickel for Iron absorption (Which fights of anemia), for preventing Osteoporosis and treating bones that have become weakened. Nickel also plays a great part in metabolizing glucose throughout your body and speeds up the every day chemical reactions in the body as well.*",Indian Journal for Medical Research,http://medind.nic.in/iby/t08/i10/ibyt08i10p412.pdf,,,,
,,,,,,,,,,,Vanadium,,,,,"Vanadium is used for treating diabetes, low blood sugar, high cholesterol, heart disease, tuberculosis, syphilis, a form of _��tired blood_ѝ (anemia), and water retention (edema); for improving athletic performance in weight training; and for preventing cancer.*",US National Library of MedicineNational Institutes of Health,https://www.ncbi.nlm.nih.gov/pubmed/19033682,,,,
,4-28013,Turmeric Complex,"Clinically studied to support liver protection, detoxification, and free radical scavenging.*",Inflammation Relief,Relieves Joint Pain,Non-GMO,Turmeric.png,$8.66,$6.93,$6.93,Turmeric,$20.00,60,60,Capsules,"Turmeric (Curcuma longa) is an antioxidant that protects against free radical damage and unwanted substances in the liver, normalizes gallbladder function, aids in digestion, helps maintain cholesterol levels within normal ranges, supports circulation and blood vessel health.*",US National Library of MedicineNational Institutes of Health,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3535097/,,,,$20.00
,6-34342,Fiber,"Clinically studied to support proper bowel function, regularity, fecal volume, beneficial micro flora as well as a clean and healthy digestive tract.*",Healthy Digestion,Inflammation Relief,Non-GMO,Fiber.png,$8.30,$6.64,$6.64,Psyllium Husk,$20.00,30,60,Capsules,"Psyllium seed husks, also known as ispaghula, isabgol, or psyllium, are portions of the seeds of the plant Plantago ovata, (genus Plantago), a native of India and Pakistan. Psyllium is used in weight control and for general intestinal health.*",American Journal of Clinical Nutrition,http://ajcn.nutrition.org/content/71/6/1433.full,,,,$20.00
,8-63634,Cranberry,Clinically studied to support cleansing of the urinary tract.*,Healthy Digestion,Fights Illness,Non-GMO,Cranberry.png,$12.00,$9.60,$9.60,Cranberry Concentrate,$20.00,60,30,Softgels,"Cranberry contains Malic, Citric and Quinic Acids which are the active ingredients that acidify the urine and keep unwanted material from adhering to the cells that line the bladder wall.* These acids also act as antiseptics to promote thorough cleansing of the urinary tract.*",Advances in Nutrition International Review,http://advances.nutrition.org/content/4/6/618.full,,,,$20.00
,,,,,,,,,,,Vitamin C,,,,,"Vitamin C or Ascorbic Acid belongs to a class of vitamins which are termed water-soluble nutrients. It is not stored in the body and should be replenished throughout the day and evening for optimal health.* As a water soluble vitamin, the body is able to excrete any unneeded levels of Vitamin C, which allows for flexible dosing.*",National Institutes of Health,https://ods.od.nih.gov/factsheets/VitaminC-HealthProfessional/,,,,
Digestion,4-06001,Probiotic Complex,"Clinically studied ingredients to normalize digestion, enzymes, and support nutrient absorption.*",Healthy Digestion,Inflammation Relief,Non-GMO,Probiotic.png,$8.28,$6.62,$6.62,Bacillus Coagulans,$25.00,60,60,Tablet,"Probiotics are live bacteria and yeasts that are good for your health, especially your digestive system. Spore-producing Bacillus coagulans is a unique probiotic that has been found to be superior to other probiotics in terms of surviving the gastric environment, colonizing the intestines, and producing lactic acid.*",US National Library of MedicineNational Institutes of Health,https://www.ncbi.nlm.nih.gov/pubmed/25332478,,,,$25.00
,9-52352,Fiber,"Clinically studied to support proper bowel function, regularity, fecal volume, beneficial micro flora as well as a clean and healthy digestive tract.*",Healthy Digestion,Inflammation Relief,Non-GMO,Fiber.png,$8.30,$6.64,$6.64,Psyllium Husk,$20.00,30,60,Capsules,"Psyllium seed husks, also known as ispaghula, isabgol, or psyllium, are portions of the seeds of the plant Plantago ovata, (genus Plantago), a native of India and Pakistan. Psyllium is used in weight control and for general intestinal health.*",American Journal of Clinical Nutrition,http://ajcn.nutrition.org/content/71/6/1433.full,,,,$20.00
,5-89382,Cranberry,Clinically studied to support cleansing of the urinary tract.*,Healthy Digestion,Fights Illness,Non-GMO,Cranberry.png,$12.00,$9.60,$9.60,Cranberry Concentrate,$20.00,60,30,Softgels,"Cranberry contains Malic, Citric and Quinic Acids which are the active ingredients that acidify the urine and keep unwanted material from adhering to the cells that line the bladder wall.* These acids also act as antiseptics to promote thorough cleansing of the urinary tract.*",Advances in Nutrition International Review,http://advances.nutrition.org/content/4/6/618.full,,,,$20.00
,,,,,,,,,,,Vitamin C,,,,,"Vitamin C or Ascorbic Acid belongs to a class of vitamins which are termed water-soluble nutrients. It is not stored in the body and should be replenished throughout the day and evening for optimal health.* As a water soluble vitamin, the body is able to excrete any unneeded levels of Vitamin C, which allows for flexible dosing.*",National Institutes of Health,https://ods.od.nih.gov/factsheets/VitaminC-HealthProfessional/,,,,
,3-08024,Superfood Complex,"Combines nutrient rich vegetables, fruits and herbs with enzymes to support the body�s ability to cleanse, detoxify and rejuvenate.*",Fights Illness,Healthy Digestion,Non-GMO,Superfood_Complex.png,$9.80,$7.50,$7.50,Chlorella,$25.00,30,60,Caplets,"Chlorella supports cell reproduction, as well as restorative processes that promote healthy organs and tissues.* Chlorella supports proper digestion by promoting the growth of beneficial bacteria and assisting in the elimination of unwanted materials from the body.*",US National Library of Medicine National Institutes of Health,https://www.ncbi.nlm.nih.gov/pubmed/18800884,,,,$20.00
